,inside_18,first_touch,bodypart_Head,bodypart_Left Foot,bodypart_Other,bodypart_Right Foot,technique_Ground,technique_Volley,assist_Ground Pass,assist_High Pass,assist_Low Pass,assist_Unassisted,state_of_play_Open Play - Shot,state_of_play_Set Piece - Direct Free Kick,state_of_play_Set Piece - Penalty,time,shot_distance,shot_angle
0,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.6954872615083136,-0.5012136604450097,-1.0625207019943332
1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.5556735616626804,-0.9638756101648175,-1.1541171050540247
2,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.415859861817047,1.0876777659400962,-0.9212497605981949
3,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.415859861817047,-0.4547383164068084,-1.8222827160881996
4,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.3459530118942304,2.1300850791670514,-0.41646456756077344
5,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.2760461619714139,0.299192942480424,-0.48422867766136013
6,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.2061393120485973,1.6903697809309914,-0.9884395985792852
7,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.9964187622801473,-0.13715876014762562,-0.5135165557556814
8,1,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9964187622801473,0.1287603820010463,1.3034804303312373
9,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9964187622801473,1.3090182152854766,-1.0188760209125993
10,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.856605062434514,0.47955707590491636,-0.9694886186359006
11,0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.646884512666064,1.5537834756279834,-0.5743894004223102
12,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5070708128204306,0.9960245794484313,-0.6332522926707013
13,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.08762971328353077,-0.8921600863635718,-0.8339603984347272
14,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.19199768640773582,0.03869282791936258,1.2276765105576992
15,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4017182361761858,-0.5665354564830708,1.3586105538029007
16,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9609730355587189,-1.184335216751483,-0.3286009332778092
17,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9609730355587189,-1.1567545645718147,0.7289211747749913
18,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.380414135095619,0.6008170598234686,-1.5684544392707478
19,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.4503209850184355,0.2857032042819056,-0.12128869813957356
20,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5202278349412521,-1.410623073527349,0.6539786631806983
21,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.625580411585497,-0.6653793679035443,-0.05725735681571396
22,1,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5070708128204306,-0.36656808063591756,1.4246518475449983
23,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.5070708128204306,0.05071199637058729,0.9505902129006394
24,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.08762971328353077,-0.7809642272760889,1.4125921330355715
25,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05218398656210253,0.9948570573714431,0.03922035925969764
26,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8211593357130856,-0.8894655271738353,0.14172793258982228
27,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8910661856359023,1.2175591095706295,1.263855654085979
28,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8910661856359023,0.051373919097266074,-0.8420002081076782
29,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8910661856359023,-1.206071151852009,-0.89253615462337
30,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8910661856359023,-1.0521135990541346,-1.6566052096134603
31,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.1007867354043523,-0.8419832258722955,0.11789563963071768
32,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2406004352499855,0.5559994522024034,0.8879945518755213
33,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4503209850184355,1.2181722560276775,-1.092095716148403
34,0,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6600415347868855,0.12690935450086613,-0.152012256532636
35,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7998552346325187,0.7998746448326788,1.078940031608107
36,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.625580411585497,-0.4805040689179708,-1.0042320818654389
37,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.415859861817047,-0.9558351745885598,-1.3510924420413233
38,1,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.415859861817047,-0.44047356230002604,1.8737326449912592
39,1,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.3459530118942304,0.44870611135885835,1.2210723811834898
40,0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.9964187622801473,0.8845812913573768,0.21293767540738812
41,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05218398656210253,0.23139319615000098,1.2635685180262304
